,actor_network,articulation,black_box,centre_of_calculation,circulating_reference,construction,enrollment,factish,immutable_mobile,inscription,militar,network,proposition,translation
actor_network,0,11,21,0,1,6,6,0,0,0,20,5,8,7
articulation,11,0,4,0,3,5,2,4,4,7,12,3,64,22
black_box,21,4,0,0,1,1,5,0,0,0,7,1,1,8
centre_of_calculation,0,0,0,0,3,2,0,0,0,1,1,0,0,3
circulating_reference,1,3,1,3,0,1,0,3,2,4,8,0,0,13
construction,6,5,1,2,1,0,3,37,0,2,47,12,6,6
enrollment,6,2,5,0,0,3,0,2,0,0,11,0,0,5
factish,0,4,0,0,3,37,2,0,2,8,30,8,5,5
immutable_mobile,0,4,0,0,2,0,0,2,0,7,0,0,0,2
inscription,0,7,0,1,4,2,0,8,7,0,0,2,1,9
militar,20,12,7,1,8,47,11,30,0,0,0,21,9,32
network,5,3,1,0,0,12,0,8,0,2,21,0,3,0
proposition,8,64,1,0,0,6,0,5,0,1,9,3,0,5
translation,7,22,8,3,13,6,5,5,2,9,32,0,5,0
