obra,campo,camada,id_kwic,pagina,termo_encontrado,contexto_antes,trecho_central,contexto_depois,uso_figural,subcategoria,comentario
latour_1996_clarifications_en,textil,A_top_densidade,latour_1996_clarifications_en#textil#0000,1,fibrous,societies cannot be described without recognizing them as having a,fibrous,"thread-like, wiry, stringy, ropy, capillary character that is never captured",,,
latour_1996_clarifications_en,textil,A_top_densidade,latour_1996_clarifications_en#textil#0001,1,netting,"that resistance, obduracy and sturdiness is more easily achieved through",netting,"lacing, weaving, twisting, of ties that are weak by themselves,",,,
latour_1996_clarifications_en,textil,A_top_densidade,latour_1996_clarifications_en#textil#0002,1,lacing,"resistance, obduracy and sturdiness is more easily achieved through netting,",lacing,"weaving, twisting, of ties that are weak by themselves, and",,,
latour_1996_clarifications_en,textil,A_top_densidade,latour_1996_clarifications_en#textil#0003,1,weaving,"obduracy and sturdiness is more easily achieved through netting, lacing,",weaving,"twisting, of ties that are weak by themselves, and that",,,
latour_1996_clarifications_en,textil,A_top_densidade,latour_1996_clarifications_en#textil#0004,1,twisting,"and sturdiness is more easily achieved through netting, lacing, weaving,",twisting,"of ties that are weak by themselves, and that each",,,
latour_1996_clarifications_en,textil,B_aleatoria,latour_1996_clarifications_en#textil#0000,1,capillary,"recognizing them as having a fibrous, thread-like, wiry, stringy, ropy,",capillary,"character that is never captured by the notions of levels,",,,
latour_1996_clarifications_en,textil,B_aleatoria,latour_1996_clarifications_en#textil#0001,1,fabric,grant them sociality and to tie them with the social,fabric,The third one is to consider them as a semiotic,,,
latour_1996_clarifications_en,textil,B_aleatoria,latour_1996_clarifications_en#textil#0002,1,nets,AT makes use of some of the simplest properties of,nets,and then add to it an actor that does some,,,
latour_1996_clarifications_en,textil,B_aleatoria,latour_1996_clarifications_en#textil#0003,1,threads,"matter how strong, is itself woven out of still weaker",threads,permeates for instance Foucault’s analysis of micro-powers as well as,,,
latour_1996_clarifications_en,textil,B_aleatoria,latour_1996_clarifications_en#textil#0004,1,woven,"and that each tie, no matter how strong, is itself",woven,"out of still weaker threads, permeates for instance Foucault’s analysis",,,
latour_1996_clarifications_en,textil,C_variantes_raras,latour_1996_clarifications_en#textil#0000,1,thread,"cannot be described without recognizing them as having a fibrous,",thread,"wiry, stringy, ropy, capillary character that is never captured by",,,
latour_1996_clarifications_en,textil,C_variantes_raras,latour_1996_clarifications_en#textil#0001,1,wiry,"be described without recognizing them as having a fibrous, thread-like,",wiry,"stringy, ropy, capillary character that is never captured by the",,,
latour_1996_clarifications_en,textil,C_variantes_raras,latour_1996_clarifications_en#textil#0002,1,stringy,"described without recognizing them as having a fibrous, thread-like, wiry,",stringy,"ropy, capillary character that is never captured by the notions",,,
latour_1996_clarifications_en,textil,C_variantes_raras,latour_1996_clarifications_en#textil#0003,1,ropy,"without recognizing them as having a fibrous, thread-like, wiry, stringy,",ropy,capillary character that is never captured by the notions of,,,
latour_1996_clarifications_en,textil,C_variantes_raras,latour_1996_clarifications_en#textil#0004,1,fabrics,reinjection of the things into our understanding of the social,fabrics,is through a network-like ontology and social theory. To remain,,,
latour_1996_clarifications_en,topologia,A_top_densidade,latour_1996_clarifications_en#topologia#0000,1,disconnected,tyranny of distance” or proximity; elements which are close when,disconnected,"may be infinitely remote if their connections are analyzed; conversely,",,,
latour_1996_clarifications_en,topologia,A_top_densidade,latour_1996_clarifications_en#topologia#0001,1,proximity,"but that in order to obtain the effects of distance,",proximity,"hierarchies, connectedness, outsiderness and surfaces, an enormous supplementary work has",,,
latour_1996_clarifications_en,topologia,A_top_densidade,latour_1996_clarifications_en#topologia#0002,1,surfaces,"obtain the effects of distance, proximity, hierarchies, connectedness, outsiderness and",surfaces,an enormous supplementary work has to be done. This work,,,
latour_1996_clarifications_en,topologia,A_top_densidade,latour_1996_clarifications_en#topologia#0003,1,nodes,exclusively related yet very distant element with the circulation between,nodes,being made compulsory through a set of rigorous paths giving,,,
latour_1996_clarifications_en,topologia,A_top_densidade,latour_1996_clarifications_en#topologia#0004,1,nodes,through a set of rigorous paths giving to a few,nodes,"a strategic character. Nothing is more intensely connected, more distant,",,,
latour_1996_clarifications_en,topologia,B_aleatoria,latour_1996_clarifications_en#topologia#0000,1,flows,"Second, actors are not conceived as fixed entities but as",flows,"as circulating objects, undergoing trials, and their stability, continuity, isotopies",,,
